DR	DRs	X	X.1	X.2	new
RBL2	RBL2	     5934.2	     5934.4	1.082175e+00	0.549625380663223
VDAC3	VDAC3	     7419.2	     7419.4	7.515191e-01	0.381688702301552
ACTN1	ACTN1	       87.2	       87.4	3.474232e-01	0.17645261492017
ATP2A1	ATP2A1	      487.2	      487.4	9.772724e-01	0.496346445687307
SFRP1	SFRP1	     6422.2	     6422.4	7.430423e-01	0.377383424110127
NIPA2	NIPA2	    81614.2	    81614.4	1.880273e-01	0.0954971019821914
MAN1B1	MAN1B1	    11253.2	    11253.4	1.886359e-01	0.0958062035661973
TSEN34	TSEN34	    79042.2	    79042.4	5.757503e-01	0.292417564446106
CNBP	CNBP	     7555.2	     7555.4	1.532024e-01	0.0778098989706094
DDX55	DDX55	    57696.2	    57696.4	3.218465e-01	0.163462476103796
FAM81A	FAM81A	   145773.2	   145773.4	6.508164e-01	0.330542852673429
NPHP4	NPHP4	   261734.2	   261734.4	7.924831e-01	0.402493890088637
MRPS25	MRPS25	    64432.2	    64432.4	8.556643e-01	0.434582961727475
MAEL	MAEL	    84944.2	    84944.4	1.173067e+00	0.59578847822068
PROX1	PROX1	     5629.2	     5629.4	5.094829e-01	0.258761044058403
ELOVL1	ELOVL1	    64834.2	    64834.4	8.831306e-01	0.448532808649562
LILRA6	LILRA6	    79168.2	    79168.4	3.273675e-01	0.166266534344508
NR5A2	NR5A2	     2494.2	     2494.4	9.736689e-01	0.494516265670932
CDK10	CDK10	     8558.2	     8558.4	5.895079e-01	0.299404905806803
TMEM182	TMEM182	   130827.2	   130827.4	4.659741e-01	0.236663378928272
ETV6	ETV6	     2120.2	     2120.4	4.578476e-01	0.232536014448442
DNAJA2	DNAJA2	    10294.2	    10294.4	1.876075e-01	0.0952838899464278
ATOH7	ATOH7	   220202.2	   220202.4	5.222374e-01	0.265238921405107
LRFN1	LRFN1	    57622.2	    57622.4	7.781808e-01	0.395229901286586
MRPL12	MRPL12	     6182.2	     6182.4	2.298156e-02	0.0116720943130591
COL6A3	COL6A3	     1293.2	     1293.4	1.122346e+00	0.570027812032107
C8orf31	C8orf31	   286122.2	   286122.4	6.690244e-01	0.339790505715789
RTTN	RTTN	    25914.2	    25914.4	3.683515e-02	0.018708187992272
CD2BP2	CD2BP2	    10421.2	    10421.4	5.365497e-01	0.272507989102722
SLMAP	SLMAP	     7871.2	     7871.4	4.082673e-01	0.207354697876819
NOV	NOV	     4856.2	     4856.4	1.671440e-01	0.0848906920096783
MXD4	MXD4	    10608.2	    10608.4	1.057963e-01	0.0537328358724425
MUSTN1	MUSTN1	   389125.2	   389125.4	3.317098e-01	0.168471943165127
TAS1R3	TAS1R3	    83756.2	    83756.4	9.366340e-01	0.475706626739776
ITGAD	ITGAD	     3681.2	     3681.4	1.770664e-01	0.0899301753437905
S100A5	S100A5	     6276.2	     6276.4	3.792778e-01	0.19263123358247
SMARCC2	SMARCC2	     6601.2	     6601.4	6.123783e-01	0.311020543116776
DNAH17	DNAH17	     8632.2	     8632.4	3.740999e-01	0.190001432248549
DAB1	DAB1	     1600.2	     1600.4	7.014293e-01	0.356248616000959
SLBP	SLBP	     7884.2	     7884.4	7.126527e-01	0.361948863647907
RFX5	RFX5	     5993.2	     5993.4	1.441801e-01	0.0732275670261848
TNNT2	TNNT2	     7139.2	     7139.4	6.128423e-01	0.311256203870931
LHX5	LHX5	    64211.2	    64211.4	2.966519e-01	0.150666401886911
CASZ1	CASZ1	    54897.2	    54897.4	1.952530e-01	0.0991669595496442
WFIKKN2	WFIKKN2	   124857.2	   124857.4	3.092460e-01	0.157062813748773
MEOX2	MEOX2	     4223.2	     4223.4	3.271621e-01	0.166162213829629
CKLF	CKLF	    51192.2	    51192.4	5.958119e-01	0.302606641570151
TRANK1	TRANK1	     9881.2	     9881.4	8.102604e-01	0.411522795099069
ZFP36	ZFP36	     7538.2	     7538.4	5.454724e-01	0.277039735247332
SLC2A9	SLC2A9	    56606.2	    56606.4	9.384762e-01	0.476642260880518
MXRA7	MXRA7	   439921.2	   439921.4	4.679250e-01	0.237654220663791
LOXL4	LOXL4	    84171.2	    84171.4	6.686485e-01	0.33959959003155
P2RX6P	P2RX6P	   440799.2	   440799.4	1.387657e-01	0.0704776498121824
CSMD2	CSMD2	   114784.2	   114784.4	7.659609e-01	0.389023541696717
EHMT1	EHMT1	    79813.2	    79813.4	6.784195e-01	0.344562178886828
AGPAT3	AGPAT3	    56894.2	    56894.4	1.540043e-01	0.0782171756058615
AGA	AGA	      175.2	      175.4	7.966539e-01	0.404612195850339
LDHD	LDHD	   197257.2	   197257.4	4.035410e-01	0.204954259466553
SH2B3	SH2B3	    10019.2	    10019.4	3.989297e-01	0.202612228355271
MTMR7	MTMR7	     9108.2	     9108.4	8.180714e-01	0.415489920423864
