V1	V2	X	X.1	X.2	we
TP53	TP53	     7157.3	     7157.4	1.00e-16	1
CTNNB1	CTNNB1	     1499.3	     1499.4	1.00e-16	1
ALB	ALB	      213.3	      213.4	1.00e-16	1
AXIN1	AXIN1	     8312.3	     8312.4	7.77e-16	0.9491445
BAP1	BAP1	     8314.3	     8314.4	5.56e-12	0.9265251
KEAP1	KEAP1	     9817.3	     9817.4	2.82e-09	0.9032927
NFE2L2	NFE2L2	     4780.3	     4780.4	3.61e-09	0.8988812
LZTR1	LZTR1	     8216.3	     8216.4	1.60e-08	0.8910079
RB1	RB1	     5925.3	     5925.4	2.82e-08	0.8566106
PIK3CA	PIK3CA	     5290.3	     5290.4	3.02e-08	0.8495936
RPS6KA3	RPS6KA3	     6197.3	     6197.4	2.02e-07	0.8463573
AZIN1	AZIN1	    51582.3	    51582.4	5.28e-07	0.8348978
KRAS	KRAS	     3845.3	     3845.4	8.61e-07	0.8344178
IL6ST	IL6ST	     3572.3	     3572.4	1.34e-06	0.8324107
RP1L1	RP1L1	    94137.3	    94137.4	2.96e-06	0.8288179
CDKN2A	CDKN2A	     1029.3	     1029.4	4.03e-06	0.8176473
EEF1A1	EEF1A1	     1915.3	     1915.4	8.38e-06	0.8165107
ARID2	ARID2	   196528.3	   196528.4	1.02e-05	0.8148804
ARID1A	ARID1A	     8289.3	     8289.4	1.16e-05	0.8109787
GPATCH4	GPATCH4	    54865.3	    54865.4	1.27e-05	0.8030856
ACVR2A	ACVR2A	       92.3	       92.4	1.54e-05	0.7972373
APOB	APOB	      338.3	      338.4	1.70e-05	0.7972012
CREB3L3	CREB3L3	    84699.3	    84699.4	3.31e-05	0.7918582
NRAS	NRAS	     4893.3	     4893.4	3.49e-05	0.779353
AHCTF1	AHCTF1	    25909.3	    25909.4	4.27e-05	0.7760664
HIST1H1C	HIST1H1C	     3006.3	     3006.4	1.11e-04	0.7751126
JAK1	JAK1	     3716.3	     3716.4	1.80e-04	1.82646e-05
GLI2	GLI2	     2736.3	     2736.4	2.40e-04	1.82646e-05
TSC2	TSC2	     7249.3	     7249.4	2.62e-04	1.82646e-05
IWS1	IWS1	    55677.3	    55677.4	3.16e-04	1.82646e-05
CRIP3	CRIP3	   401262.3	   401262.4	4.63e-04	1.82646e-05
BRD7	BRD7	    29117.3	    29117.4	5.33e-04	1.82646e-05
TGFB1	TGFB1	     7040.3	     7040.4	6.11e-04	1.82646e-05
IDH1	IDH1	     3417.3	     3417.4	6.37e-04	1.82646e-05
SF3B1	SF3B1	    23451.3	    23451.4	6.62e-04	1.82646e-05
CCT3	CCT3	     7203.3	     7203.4	7.21e-04	1.82646e-05
SMARCA4	SMARCA4	     6597.3	     6597.4	7.56e-04	1.82646e-05
GRIA1	GRIA1	     2890.3	     2890.4	7.85e-04	1.82646e-05
DYRK1A	DYRK1A	     1859.3	     1859.4	9.22e-04	1.82646e-05
COL22A1	COL22A1	   169044.3	   169044.4	9.68e-04	1.82646e-05
PTEN	PTEN	     5728.3	     5728.4	1.05e-03	1.82646e-05
COL5A1	COL5A1	     1289.3	     1289.4	1.29e-03	1.82646e-05
NOX1	NOX1	    27035.3	    27035.4	1.45e-03	1.82646e-05
TMEM51	TMEM51	    55092.3	    55092.4	1.67e-03	1.82646e-05
PDPR	PDPR	    55066.3	    55066.4	1.78e-03	1.82646e-05
KMT2B	KMT2B	     9757.3	     9757.4	1.92e-03	1.82646e-05
EIF5A	EIF5A	     1984.3	     1984.4	1.98e-03	1.82646e-05
KRT35	KRT35	     3886.3	     3886.4	2.08e-03	1.82646e-05
FZR1	FZR1	    51343.3	    51343.4	2.10e-03	1.82646e-05
HNF1A	HNF1A	     6927.3	     6927.4	2.30e-03	1.82646e-05
SRRT	SRRT	    51593.3	    51593.4	2.40e-03	1.82646e-05
PTH2R	PTH2R	     5746.3	     5746.4	2.68e-03	1.82646e-05
NSRP1	NSRP1	    84081.3	    84081.4	2.94e-03	1.82646e-05
SERPINB3	SERPINB3	     6317.3	     6317.4	3.45e-03	1.82646e-05
PKD2L2	PKD2L2	    27039.3	    27039.4	3.46e-03	1.82646e-05
TMEM33	TMEM33	    55161.3	    55161.4	3.50e-03	1.82646e-05
TNFRSF4	TNFRSF4	     7293.3	     7293.4	3.52e-03	1.82646e-05
RXRB	RXRB	     6257.3	     6257.4	3.79e-03	1.82646e-05
RPGR	RPGR	     6103.3	     6103.4	3.91e-03	1.82646e-05
BAX	BAX	      581.3	      581.4	4.01e-03	1.82646e-05
UNC45B	UNC45B	   146862.3	   146862.4	4.01e-03	1.82646e-05
TMEM161A	TMEM161A	    54929.3	    54929.4	4.31e-03	1.82646e-05
C6orf47	C6orf47	    57827.3	    57827.4	4.48e-03	1.82646e-05
PARM1	PARM1	    25849.3	    25849.4	4.54e-03	1.82646e-05
TCF20	TCF20	     6942.3	     6942.4	4.63e-03	1.82646e-05
FBXO42	FBXO42	    54455.3	    54455.4	5.09e-03	1.82646e-05
THRSP	THRSP	     7069.3	     7069.4	5.31e-03	1.82646e-05
IL27RA	IL27RA	     9466.3	     9466.4	5.34e-03	1.82646e-05
DNM2	DNM2	     1785.3	     1785.4	5.34e-03	1.82646e-05
SPRR4	SPRR4	   163778.3	   163778.4	5.51e-03	1.82646e-05
CCDC141	CCDC141	   285025.3	   285025.4	5.58e-03	1.82646e-05
METTL21C	METTL21C	   196541.3	   196541.4	5.78e-03	1.82646e-05
OR2J3	OR2J3	   442186.3	   442186.4	5.81e-03	1.82646e-05
ST8SIA6	ST8SIA6	   338596.3	   338596.4	5.92e-03	1.82646e-05
ARHGEF6	ARHGEF6	     9459.3	     9459.4	6.28e-03	1.82646e-05
CISH	CISH	     1154.3	     1154.4	6.48e-03	1.82646e-05
THAP10	THAP10	    56906.3	    56906.4	6.74e-03	1.82646e-05
SCAPER	SCAPER	    49855.3	    49855.4	6.84e-03	1.82646e-05
