	mi2		
5116.5	4916.4	0.4957627	0.5131106
5116.5	1021.4	0.537214	0.5560123
5116.5	5315.4	0.05154436	0.05334802
5116.5	3757.4	0.6349905	0.6572102
5116.5	8140.4	0.3626927	0.3753842
5116.5	89797.4	0.378351	0.3915903
5116.5	3172.4	0.09059435	0.09376445
5116.5	894.4	0.3036256	0.3142502
5116.5	60401.4	0.2718882	0.2814021
5116.5	3215.4	0.02777022	0.02874196
5116.5	2627.4	0.4360578	0.4513164
5116.5	80829.4	0.1121913	0.1161171
5116.5	1979.4	0.1355698	0.1403137
5116.5	1478.4	0.3423798	0.3543604
5116.5	10106.4	0.0152184	0.01575093
5116.5	7534.4	0.0170813	0.01767902
5116.5	7067.4	0.03830221	0.03964249
5116.5	9764.4	0.1226892	0.1269824
5116.5	114990.4	0.2625615	0.2717491
5116.5	155382.4	0.1791468	0.1854155
5116.5	84726.4	0.2032366	0.2103483
5116.5	7916.4	0.08924684	0.09236978
5116.5	283455.4	0.07628271	0.07895201
5116.5	79720.4	0.010085	0.0104379
5116.5	8324.4	0.3691155	0.3820317
5116.5	2296.4	0.141185	0.1461254
5116.5	387522.4	0.2372325	0.2455338
5116.5	5717.4	0.05965703	0.06174456
5116.5	821.4	0	0
5116.5	84823.4	0.3266536	0.3380839
5116.5	5709.4	0.0421192	0.04359305
5116.5	5869.4	0.1603225	0.1659326
5116.5	84932.4	0.1018919	0.1054574
5116.5	23770.4	0.07918162	0.08195236
5116.5	1915.4	0	0
5116.5	23112.4	0.1674177	0.173276
5116.5	56970.4	0.1224755	0.1267612
5116.5	25829.4	0.1962751	0.2031432
5116.5	5428.4	0.2163429	0.2239132
5116.5	57459.4	0.1468787	0.1520183
5116.5	23089.4	0.2656487	0.2749444
5116.5	113419.4	0.1602411	0.1658483
5116.5	204851.4	0.01933812	0.02001481
5116.5	84878.4	0.2872705	0.2973227
5116.5	11198.4	0.352866	0.3652136
5116.5	7531.4	0.03368335	0.03486201
5116.5	1173.4	0.02213617	0.02291076
5116.5	10847.4	0.006244517	0.006463026
5116.5	6522.4	0.07051801	0.0729856
5116.5	396.4	0.05564053	0.05758752
5116.5	55954.4	0.2489393	0.2576503
5116.5	23119.4	0.3185609	0.329708
5116.5	7351.4	0.281771	0.2916308
5116.5	8289.4	0.09824691	0.1016848
5116.5	25.4	0.2110817	0.2184679
5116.5	124540.4	0.3257092	0.3371065
5116.5	139285.4	0.3318068	0.3434175
5116.5	29916.4	0.2500192	0.2587679
5116.5	80344.4	0.1911978	0.1978883
5116.5	23326.4	0.1696906	0.1756285
5116.5	115509.4	0.1276176	0.1320832
5116.5	4144.4	0.07524734	0.07788041
5116.5	23362.4	0.3431869	0.3551958
5116.5	55502.4	0.1939326	0.2007188
5116.5	23521.4	0	0
5116.5	1540.4	0.1022917	0.1058711
5116.5	55095.4	0.2595841	0.2686675
5116.5	11100.4	0.06266179	0.06485447
5116.5	960.4	0.2515583	0.2603609
5116.5	374655.4	0.2009203	0.2079509
5116.5	811.4	0	0
5116.5	65123.4	0.141108	0.1460457
5116.5	5435.4	0.1182435	0.1223811
5116.5	55666.4	0.1469235	0.1520647
5116.5	4899.4	0.1222536	0.1265315
5116.5	10766.4	0.1999524	0.2069492
5116.5	56882.4	0.04139247	0.04284089
5116.5	8945.4	0.1727474	0.1787922
5116.5	83743.4	0.2000033	0.2070018
5116.5	5862.4	0.02586537	0.02677046
5116.5	23214.4	0.007257134	0.007511078
5116.5	26071.4	0.5180592	0.5361873
5116.5	1981.4	0	0
5116.5	119.4	0.1549713	0.1603941
5116.5	284273.4	0.220375	0.2280864
5116.5	153339.4	0.07411305	0.07670643
5116.5	50861.4	0.1751438	0.1812725
5116.5	3959.4	0.2347039	0.2429167
5116.5	7090.4	0.0484571	0.05015273
5116.5	1871.4	0.3877577	0.4013262
5116.5	54805.4	0.1705327	0.1765
5116.5	91.4	0.1816616	0.1880184
5116.5	79837.4	0.1854059	0.1918937
5116.5	51621.4	0.2067297	0.2139636
5116.5	79094.4	0.3031162	0.3137229
5116.5	90007.4	0.08172183	0.08458146
5116.5	900.4	0.1467658	0.1519015
5116.5	26959.4	0.1990845	0.2060509
5116.5	254048.4	0.1307864	0.1353629
5116.5	84895.4	0.2797937	0.2895843
5116.5	3159.4	0.3716545	0.3846596
5116.5	5141.4	0.3562647	0.3687312
5116.5	143244.4	0.1478274	0.1530002
5116.5	9939.4	0.0796882	0.08247667
5116.5	10658.4	0.09039655	0.09355973
5116.5	81788.4	0.3325964	0.3442347
5116.5	84747.4	0.4390306	0.4543932
5116.5	114785.4	0.2712337	0.2807248
5116.5	1984.4	0.02914844	0.0301684
5116.5	10523.4	0.01914898	0.01981905
5116.5	29074.4	0.1258948	0.1303002
5116.5	657.4	0.3743408	0.3874399
5116.5	6664.4	0.5295249	0.5480541
5116.5	149603.4	0.2163248	0.2238945
5116.5	150572.4	0.5077353	0.5255021
5116.5	400793.4	0.3301803	0.3417341
5116.5	9052.4	0.3015453	0.312097
5116.5	5784.4	0.3848799	0.3983478
5116.5	30837.4	0.4323465	0.4474753
5116.5	81929.4	0.02057872	0.02129882
5116.5	54815.4	0.1862397	0.1927567
5116.5	26504.4	0.4947386	0.5120506
5116.5	80218.4	0.01106666	0.0114539
5116.5	727936.4	0.2139881	0.221476
5116.5	896.4	0.1469301	0.1520715
5116.5	51307.4	0.3717075	0.3847143
5116.5	1944.4	0.3039327	0.314568
5116.5	10910.4	0.2469257	0.2555662
5116.5	91369.4	0.2492127	0.2579332
5116.5	4784.4	0.4239792	0.4388151
5116.5	7532.4	0.07495877	0.07758175
5116.5	1363.4	0.249636	0.2583714
5116.5	144453.4	0.2576576	0.2666736
5116.5	2561.4	0.3036065	0.3142304
5116.5	10397.4	0.278437	0.2881801
