V1	V2	V3	V4	V5	we
PFDN2	PFDN2	     5202.1	     5202.4	0.000022000	1
NIT1	NIT1	     4817.1	     4817.4	0.000022000	1
DEDD	DEDD	     9191.1	     9191.4	0.000022000	1
UFC1	UFC1	    51506.1	    51506.4	0.000022000	1
USP21	USP21	    27005.1	    27005.4	0.000022000	1
B4GALT3	B4GALT3	     8703.1	     8703.4	0.000022000	1
PPOX	PPOX	     5498.1	     5498.4	0.000022000	1
ADAMTS4	ADAMTS4	     9507.1	     9507.4	0.000022000	1
NDUFS2	NDUFS2	     4720.1	     4720.4	0.000022000	1
FCER1G	FCER1G	     2207.1	     2207.4	0.000022000	1
APOA2	APOA2	      336.1	      336.4	0.000022000	1
NR1I3	NR1I3	     9970.1	     9970.4	0.000022000	1
TOMM40L	TOMM40L	    84134.1	    84134.4	0.000022000	1
PCP4L1	PCP4L1	   654790.1	   654790.4	0.000022000	1
MPZ	MPZ	     4359.1	     4359.4	0.000022000	1
SDHC	SDHC	     6391.1	     6391.4	0.000022000	1
CREG1	CREG1	     8804.1	     8804.4	0.000022000	1
RCSD1	RCSD1	    92241.1	    92241.4	0.000022000	1
MPZL1	MPZL1	     9019.1	     9019.4	0.000022000	1
ADCY10	ADCY10	    55811.1	    55811.4	0.000022000	1
MNDA	MNDA	     4332.1	     4332.4	0.000036700	0.9491445
PYHIN1	PYHIN1	   149628.1	   149628.4	0.000036700	0.9491445
IFI16	IFI16	     3428.1	     3428.4	0.000036700	0.9491445
AIM2	AIM2	     9447.1	     9447.4	0.000036700	0.9491445
CADM3	CADM3	    57863.1	    57863.4	0.000036700	0.9491445
RNA5SP60	RNA5SP60	100873295.1	100873295.4	0.000036700	0.9491445
FCER1A	FCER1A	     2205.1	     2205.4	0.000036700	0.9491445
OR10J3	OR10J3	   441911.1	   441911.4	0.000036700	0.9491445
OR10J1	OR10J1	    26476.1	    26476.4	0.000036700	0.9491445
OR10J5	OR10J5	   127385.1	   127385.4	0.000036700	0.9491445
APCS	APCS	      325.1	      325.4	0.000036700	0.9491445
CRP	CRP	     1401.1	     1401.4	0.000036700	0.9491445
DUSP23	DUSP23	    54935.1	    54935.4	0.000036700	0.9491445
FCRL6	FCRL6	   343413.1	   343413.4	0.000036700	0.9491445
SLAMF8	SLAMF8	    56833.1	    56833.4	0.000036700	0.9491445
VSIG8	VSIG8	   391123.1	   391123.4	0.000036700	0.9491445
TAGLN2	TAGLN2	     8407.1	     8407.4	0.000036700	0.9491445
IGSF9	IGSF9	    57549.1	    57549.4	0.000036700	0.9491445
SLAMF9	SLAMF9	    89886.1	    89886.4	0.000036700	0.9491445
